Brand,Model,km_driven,Owner,Mfg_year,Fuel_type,Mileage,Transmission,Price(lakh)
Volvo,V40,"5,500",First,2016,Diesel,16.81,Automatic,22
Volkswagen,Vento,"18,500",First,2017,Petrol,18.19,Automatic,8.2
Audi,Q3,"69,500",First,2012,Diesel,15.77,Automatic,13.9
Audi,A4,"48,000",First,2015,Diesel,15.77,Automatic,13.9
Mercedes-Benz,CLA,"37,000",First,2018,Petrol,FWD,Turbocharged,27
Tata,Nexon,"35,070",First,2020,Electric,127,FWD,14.5
Honda,City,"38,397",First,2015,Petrol,FWD,No,7.5
Mercedes-Benz,GLC,"14,550",First,2020,Diesel,AWD,BS,68.5
Toyota,Innova,"78,940",First,2016,Diesel,14.29,Automatic,19.5
Hyundai,Creta,"9,087",First,2020,Petrol,17,FWD,19.25
Volkswagen,Tiguan,"25,538",First,2021,Petrol,10.87,4WD,33.25
Mercedes-Benz,GLC,"14,550",First,2020,Diesel,AWD,BS,68.5
Toyota,Innova,"78,940",First,2016,Diesel,14.29,Automatic,19.5
Hyundai,Creta,"9,087",First,2020,Petrol,17,FWD,19.25
Volkswagen,Tiguan,"25,538",First,2021,Petrol,10.87,4WD,33.25
Kia,Seltos,"43,943",First,2020,Petrol,16.5,FWD,18.75
Toyota,Innova,"59,599",Second,2017,Petrol,10.75,Automatic,17.5
Honda,City,"17,911",Second,2019,Petrol,17.4,Manual,9.95
Mahindra,XUV700,"4,379",First,2022,Petrol,FWD,BS,17.5
Mercedes-Benz,E-Class,"41,829",Second,2013,Diesel,14.2,Automatic,19.5
Maruti,Suzuki,"22,545",First,2020,Petrol,18.4,FWD,11.25
Mercedes-Benz,S-Class,"43,000",First,2017,Diesel,Automatic,Idle,68
Mercedes-Benz,E-Class,"70,427",First,2015,Diesel,14.2,Automatic,23.5
Ford,Endeavour,"30,800",First,2019,Diesel,12.62,Automatic,31.9
Honda,CR-V,"47,900",First,2017,Petrol,13.7,Automatic,14.45
Audi,Q7,"44,000",First,2020,Diesel,14.75,Automatic,14.45
Audi,Q5,"33,000",First,2020,Diesel,12.8,Automatic,48.48
Honda,City,"48,000",First,2017,Petrol,18,Automatic,9.25
Skoda,Rapid,"65,000",Third,2013,Petrol,14.3,Automatic,3.51
Renault,Triber,"19,000",First,2021,Petrol,20,Manual,7.65
Honda,City,"41,000",First,2016,Petrol,FWD,No,7.45
Hyundai,Creta,"41,000",First,2017,Petrol,15.29,Automatic,11.21
Hyundai,i20,"69,000",First,2012,Petrol,15.29,Automatic,11.21
Maruti,Suzuki,"47,000",First,2015,Petrol,20.729999542236328,Manual,5.99
Hyundai,Creta,"41,000",First,2017,Petrol,15.29,Automatic,11.21
Hyundai,i20,"69,000",First,2012,Petrol,15.29,Automatic,11.21
Maruti,Suzuki,"47,000",First,2015,Petrol,20.729999542236328,Manual,5.99
Hyundai,Xcent,"56,000",First,2018,Petrol,19.1,Manual,5.4
Audi,Q5,"33,400",First,2020,Diesel,12.37,Automatic,48.5
BMW,3,"7,800",First,2021,Petrol,16.05,Automatic,54.95
Mercedes-Benz,E-Class,"43,000",Second,2013,Diesel,14.2,Automatic,17.9
Hyundai,Elite,"68,000",First,2015,Petrol,18.6,Manual,5.25
Ford,EcoSport,"43,000",First,2019,Petrol,14.8,Automatic,9.45
Audi,A4,"35,000",First,2015,Petrol,18.78,Automatic,17.25
Mercedes-Benz,C-Class,"64,000",Second,2014,Petrol,14.74,Automatic,9.85
Toyota,Fortuner,"1,62,000",Second,2013,Diesel,11.9,Manual,13.25
Tata,Harrier,"14,000",First,2021,Diesel,14.6,FWD,22.9
Renault,Triber,"5,000",First,2020,Petrol,20,Manual,6.45
Jaguar,XJ,"66,000",First,2015,Diesel,12.9,Automatic,42.5
Skoda,Superb,"58,000",First,2016,Petrol,14.81,Automatic,16.75
Maruti,Suzuki,"19,000",First,2021,CNG,24.59,Manual,11.75
Renault,Kwid,"12,000",First,2021,Petrol,25,FWD,11.75
Kia,Seltos,"32,000",First,2020,Diesel,18,Automatic,11.75
Maruti,Suzuki,"57,000",First,2017,Petrol,21.4,Manual,4.99
Maruti,Suzuki,"89,000",First,2017,Diesel,28.09,Manual,7.49
Mercedes-Benz,E-Class,"43,000",Second,2013,Diesel,14.2,Automatic,17.9
Maruti,Suzuki,"19,000",First,2021,CNG,24.59,Manual,11.75
Kia,Seltos,"32,000",First,2020,Diesel,18,Automatic,11.75
Renault,Kwid,"12,000",First,2021,Petrol,25,FWD,11.75
Hyundai,Elite,"68,000",First,2015,Petrol,18.6,Manual,5.25
Toyota,Fortuner,"1,62,000",Second,2013,Diesel,11.9,Manual,13.25
BMW,3,"25,438",First,2015,Diesel,18.88,Automatic,22.5
Mercedes-Benz,CLA,"8,500",First,2019,Petrol,FWD,Turbocharged,31.99
Maruti,Suzuki,"40,000",First,2018,Diesel,24.29,AMT,9.4
Hyundai,Verna,"35,200",First,2017,Petrol,FWD,BS,9.1
Mercedes-Benz,GLA,"55,000",Second,2016,Diesel,FWD,Turbocharged,21.45
Land,Rover,"1,46,500",First,2013,Diesel,AWD,4838,34.5
BMW,5,"87,000",First,2012,Diesel,18.48,Automatic,12.49
Honda,CR-V,"74,000",First,2015,Petrol,18.48,Automatic,12.49
Toyota,Innova,"46,000",First,2015,Diesel,RWD,Turbocharged,10.75
BMW,6,"51,000",First,2013,Diesel,18.18,Automatic,27.27
Toyota,Yaris,"25,300",First,2019,Petrol,17.8,Automatic,9.41
Jeep,Compass,"55,000",First,2018,Petrol,FWD,BS,13.99
Tata,Safari,"13,000",First,2021,Diesel,350,807,19.35
MG,Hector,"15,000",First,2020,Petrol,13.96,BS,17.5
Toyota,Yaris,"25,300",First,2019,Petrol,17.8,Automatic,9.41
Jeep,Compass,"55,000",First,2018,Petrol,FWD,BS,13.99
Tata,Safari,"13,000",First,2021,Diesel,350,807,19.35
MG,Hector,"15,000",First,2020,Petrol,13.96,BS,17.5
Hyundai,Creta,"19,000",First,2020,Petrol,17,FWD,18.81
Mahindra,XUV500,"80,281",First,2018,Diesel,15.1,Automatic,16.5
Toyota,Urban,"15,081",First,2020,Petrol,18.7,FWD,11.25
Volkswagen,Polo,"54,122",First,2015,Petrol,16.47,Manual,4.75
Hyundai,Creta,"46,575",First,2017,Diesel,21.38,Manual,9.5
Mercedes-Benz,B-Class,"34,929",First,2013,Petrol,14.8,Automatic,11.95
Kia,Seltos,"9,237",First,2021,Petrol,16.1,FWD,11.95
Toyota,Innova,"11,167",First,2022,Diesel,15.6,RWD,27.75
Honda,Amaze,"33,771",First,2015,Petrol,17.8,Manual,4.65
Maruti,Suzuki,"30,274",First,2015,CNG,22.8,Manual,7.25
BMW,X5,"6,500",First,2021,Diesel,262,13.3,1.05
Mahindra,XUV500,"43,000",First,2018,Diesel,15.1,Automatic,16.4
MG,Hector,"23,800",First,2019,Petrol,13.96,BS,16.25
Maruti,Suzuki,"62,397",First,2014,Petrol,19.12,Automatic,5.95
Mercedes-Benz,GLC,"43,582",First,2019,Diesel,AWD,BS,47.75
Volkswagen,Vento,"45,000",First,2016,Petrol,18.19,Automatic,7.25
Hyundai,i10,"63,000",First,2013,Petrol,20.63,Manual,3.15
Renault,Kwid,"23,000",First,2019,Petrol,23.01,Manual,4.35
Honda,City,"36,000",First,2018,Petrol,FWD,No,8.75
Volkswagen,Vento,"45,000",First,2016,Petrol,18.19,Automatic,7.25
Renault,Kwid,"23,000",First,2019,Petrol,23.01,Manual,4.35
Hyundai,i10,"63,000",First,2013,Petrol,20.63,Manual,3.15
Volkswagen,Vento,"53,000",First,2016,Petrol,18.19,Automatic,6.51
Honda,City,"33,000",First,2017,Petrol,18,Automatic,8.55
Hyundai,i20,"45,000",First,2014,Petrol,18.15,Manual,3.75
Toyota,Fortuner,"88,000",First,2016,Diesel,12.9,Automatic,28.5
Skoda,Octavia,"28,000",First,2018,Petrol,15.1,Automatic,20.5
Hyundai,Santro,"43,000",First,2019,CNG,30.48,Manual,5.45
Maruti,Suzuki,"11,000",First,2020,Petrol,21.7,FWD,5.45
Mahindra,XUV500,"56,000",First,2018,Diesel,15.1,Automatic,15.9
Hyundai,i20,"68,000",First,2018,Petrol,17.19,Manual,6.89
Honda,Amaze,"54,000",First,2014,Petrol,15.5,Automatic,4.65
Renault,Triber,"8,000",First,2021,Petrol,20,Manual,7.65
Jeep,Compass,"11,000",First,2020,Diesel,16.3,AWD,25.95
Renault,Kwid,"13,000",First,2020,Petrol,25,FWD,25.95
Volkswagen,Polo,"37,000",First,2014,Petrol,16.47,Manual,3.85
Skoda,Rapid,"31,000",First,2018,Petrol,14.84,Automatic,8.75
Mercedes-Benz,C-Class,"44,000",First,2013,Diesel,14.83,Automatic,13.85
Honda,City,"36,000",First,2018,Petrol,FWD,No,8.75
Mahindra,TUV300,"61,000",First,2017,Diesel,18.49,Manual,7.25
Honda,City,"33,000",First,2017,Petrol,18,Automatic,8.55
Volkswagen,Vento,"53,000",First,2016,Petrol,18.19,Automatic,6.51
Skoda,Octavia,"28,000",First,2018,Petrol,15.1,Automatic,20.5
Skoda,Rapid,"31,000",First,2018,Petrol,14.84,Automatic,8.75
Honda,City,"85,000",First,2014,Diesel,FWD,Turbocharged,5.75
Renault,Kwid,"20,000",First,2020,Petrol,23.01,Manual,4.75
Mahindra,Thar,"5,111",First,2020,Petrol,4WD,BS,16.3
Mahindra,TUV300,"61,000",First,2017,Diesel,18.49,Manual,7.25
Renault,Kwid,"32,000",First,2020,Petrol,24.04,AMT,5.45
Hyundai,i20,"45,000",First,2014,Petrol,18.15,Manual,3.75
Hyundai,i20,"68,000",First,2018,Petrol,17.19,Manual,6.89
Hyundai,Santro,"43,000",First,2019,CNG,30.48,Manual,5.45
Maruti,Suzuki,"11,000",First,2020,Petrol,21.7,FWD,5.45
Mahindra,XUV500,"56,000",First,2018,Diesel,15.1,Automatic,15.9
Toyota,Fortuner,"88,000",First,2016,Diesel,12.9,Automatic,28.5
Volkswagen,Polo,"65,000",First,2016,Petrol,17.21,Automatic,6.25
Maruti,Suzuki,"49,000",First,2012,Petrol,17.21,Automatic,6.25
Toyota,Fortuner,"16,500",First,2021,Diesel,500,1152,48.5
Hyundai,Creta,"45,000",First,2016,Petrol,15.29,Manual,9.11
Mahindra,XUV500,"87,000",First,2016,Diesel,16,Manual,9.75
Volkswagen,Vento,"53,000",First,2016,Petrol,18.19,Automatic,6.51
Toyota,Fortuner,"88,000",First,2016,Diesel,12.9,Automatic,28.5
Skoda,Octavia,"28,000",First,2018,Petrol,15.1,Automatic,20.5
Renault,Kwid,"20,000",First,2020,Petrol,23.01,Manual,4.75
Mahindra,Thar,"5,111",First,2020,Petrol,4WD,BS,16.3
Mahindra,TUV300,"61,000",First,2017,Diesel,18.49,Manual,7.25
Renault,Kwid,"32,000",First,2020,Petrol,24.04,AMT,5.45
Maruti,Suzuki,"12,000",First,2016,Petrol,20.51,Automatic,4.25
